"","Seg.","S","Ter.","S","Qua.","S","Qui.","S","Sex.","S"
"08:00-09:00","","","Desktop","A7","","","","","",""
"09:00-10:00","","","Desktop","A7","","","","","",""
"10:00-11:00","","","Desktop","A7","","","","","",""
"11:00-12:00","","","Desktop","A7","","","","","",""
"12:00-13:00","","","","","","","","","",""
"13:00-14:00","","","","","","","","","",""
"14:00-15:00","","","PG (*)","","PG","A9","","","CRIPTO","A8"
"15:00-16:00","","","PG (*)","","PG","A9","","","CRIPTO","A8"
"16:00-17:00","","","","","","","","","CRIPTO","A8"
"17:00-18:00","","","","","","","","","CRIPTO","A8"
